case_number,type_of_dispute
CAS-02624-B3K1R0,Friends
CAS-02766-L1V3G1,Neighbour
CAS-02549-D6L2N3,Neighbour
CAS-02376-R0X8R9,Neighbour
CAS-02790-Y9S0Y4,Neighbour
CAS-02740-W1S1C5,Neighbour
CAS-02929-W9C6X1,Neighbour
CAS-02575-R3Q2V5,Family
CAS-02259-Z6B6C4,Neighbour
CAS-02032-B5J1V9,Neighbour
CAS-02365-P0W1J1,Neighbour
CAS-02390-H3Q9Y1,Neighbour
CAS-02398-J3Z4F9,Neighbour
CAS-02037-Z2T9F3,Neighbour
CAS-02298-F0G5V7,Family
CAS-02027-N4K6C6,Family
CAS-02702-C9G9L4,Family
CAS-02981-S2M8D6,Neighbour
CAS-02978-G7M4S1,Neighbour
CAS-02612-V5H5J1,Neighbour
CAS-02002-V4Q8D6,Neighbour
CAS-02771-T8X9D5,Neighbour
CAS-02507-L0R8F7,Family
CAS-02078-R5S2K2,Neighbour
CAS-02525-B9W0K0,Others
CAS-02498-V5J3G7,Neighbour
CAS-02850-Q0N3F0,Others
CAS-02387-L7D8J2,Neighbour
CAS-02510-Q3Y3R3,Friends
CAS-02046-F5T9J0,Neighbour
CAS-02844-G2W2L4,Friends
CAS-02394-W9V4R3,Neighbour
CAS-02414-B8M6N5,Neighbour
CAS-02417-B0W7F3,Neighbour
CAS-02307-W2M5P6,Neighbour
CAS-02619-D0D8Z4,Family
CAS-02176-P3P7F8,Friends
CAS-02337-C7C0M3,Others
CAS-02123-F8W2Y2,Others
CAS-02707-P4R6P7,Friends
CAS-01986-Z4Z6F3,Neighbour
CAS-02822-C8Z9S8,Others
CAS-02674-H2M6C3,Friends
CAS-02154-L3B7Y9,Neighbour
CAS-02890-S4T6F7,Others
CAS-02756-C4Y2R1,Neighbour
CAS-02897-Z4S5M4,Neighbour
CAS-02214-H1Q3C9,Neighbour
CAS-02472-K7J5G0,Neighbour
CAS-02082-T1S8N7,Neighbour
CAS-02442-T5Y3Q8,Neighbour
CAS-02216-V8G5V9,Neighbour
CAS-02972-R6M1Y5,Neighbour
