case_number,type_of_intake
CAS-02624-B3K1R0,Direct Intake
CAS-02766-L1V3G1,External Agency
CAS-02549-D6L2N3,External Agency
CAS-02376-R0X8R9,External Agency
CAS-02790-Y9S0Y4,Direct Intake
CAS-02740-W1S1C5,External Agency
CAS-02929-W9C6X1,Direct Intake
CAS-02575-R3Q2V5,Courts
CAS-02259-Z6B6C4,Courts
CAS-02032-B5J1V9,Direct Intake
CAS-02365-P0W1J1,Direct Intake
CAS-02390-H3Q9Y1,Direct Intake
CAS-02398-J3Z4F9,Courts
CAS-02037-Z2T9F3,Courts
CAS-02298-F0G5V7,Courts
CAS-02027-N4K6C6,Direct Intake
CAS-02702-C9G9L4,Direct Intake
CAS-02981-S2M8D6,External Agency
CAS-02978-G7M4S1,External Agency
CAS-02612-V5H5J1,Direct Intake
CAS-02002-V4Q8D6,Direct Intake
CAS-02771-T8X9D5,External Agency
CAS-02507-L0R8F7,Direct Intake
CAS-02078-R5S2K2,Direct Intake
CAS-02525-B9W0K0,Courts
CAS-02498-V5J3G7,Courts
CAS-02850-Q0N3F0,Courts
CAS-02387-L7D8J2,Courts
CAS-02510-Q3Y3R3,Courts
CAS-02046-F5T9J0,External Agency
CAS-02844-G2W2L4,External Agency
CAS-02394-W9V4R3,External Agency
CAS-02414-B8M6N5,External Agency
CAS-02417-B0W7F3,External Agency
CAS-02307-W2M5P6,External Agency
CAS-02619-D0D8Z4,Courts
CAS-02176-P3P7F8,Courts
CAS-02337-C7C0M3,Courts
CAS-02123-F8W2Y2,Courts
CAS-02707-P4R6P7,Courts
CAS-01986-Z4Z6F3,Courts
CAS-02822-C8Z9S8,Direct Intake
CAS-02674-H2M6C3,Courts
CAS-02154-L3B7Y9,Courts
CAS-02890-S4T6F7,Courts
CAS-02756-C4Y2R1,Courts
CAS-02897-Z4S5M4,Courts
CAS-02214-H1Q3C9,Courts
CAS-02472-K7J5G0,External Agency
CAS-02082-T1S8N7,External Agency
CAS-02442-T5Y3Q8,Direct Intake
CAS-02216-V8G5V9,Direct Intake
CAS-02972-R6M1Y5,External Agency
CAS-02028-Q9V6T4,External Agency
CAS-02983-H7D5W0,External Agency
CAS-02527-V0P1W0,Courts
CAS-02905-Z6B1J6,Courts
CAS-02453-L2Z6D2,Courts
CAS-02638-Q0Q1N7,Courts
CAS-02389-R6V4H5,Courts
CAS-02688-Q0Y3F5,Courts
CAS-02991-J8B8X2,External Agency
CAS-02651-T4K0Q9,External Agency
CAS-02716-J4V5G8,External Agency
CAS-02508-S8X3T5,External Agency
CAS-02294-M6G1V5,External Agency
CAS-02701-G1K6R7,Direct Intake
CAS-02371-J7N7G6,External Agency
CAS-02097-F0X9X7,Direct Intake
CAS-02751-Y8W3D8,Courts
CAS-02303-V9J5R8,Courts
CAS-02671-J7Z7K0,Courts
CAS-02102-V9P5X8,Courts
CAS-02719-X9X5L0,Courts
CAS-02768-D5Z6G1,External Agency
CAS-02263-C0K5W3,External Agency
CAS-02742-V0C5L3,Courts
CAS-02241-N0H4B0,Courts
CAS-02100-Z6L6L9,Courts
CAS-02179-V9W6D7,Courts
CAS-02544-N7C0Z5,Courts
CAS-02680-V0B9J7,Courts
CAS-02481-J5H9J3,External Agency
CAS-02325-H5J3C5,Courts
CAS-02812-V2W1Z3,Courts
CAS-02708-B3S1S9,Courts
CAS-02374-P0W2J5,Courts
CAS-02586-B8R6C8,Courts
CAS-02853-B9T9Q1,Courts
CAS-02344-P6R3H5,External Agency
CAS-02281-T8W0Y2,External Agency
CAS-02960-S1B4X7,External Agency
CAS-02562-G6B8P2,External Agency
CAS-02329-J8S1P4,External Agency
CAS-02973-Y0T0H9,External Agency
CAS-02316-W9H3Q4,Courts
CAS-02249-L7M5Y7,Courts
CAS-02042-Y9N8M1,Courts
CAS-02116-Z9J7D4,Courts
CAS-02752-L8Q6W1,Courts
CAS-02221-V9F8B5,Courts
CAS-02736-P7X2Z7,External Agency
CAS-02396-H1C6G2,Courts
CAS-02308-W0P1Y5,Courts
CAS-02733-X4R3W7,External Agency
CAS-02617-M8J5D7,External Agency
CAS-02509-P3G3C8,Direct Intake
CAS-02801-T1L3T3,Direct Intake
CAS-02788-S2L7W1,External Agency
CAS-02351-G3Q2V9,Courts
CAS-02606-L1X8K0,Courts
CAS-02861-C9F1Z6,Courts
CAS-02654-J8G6X9,Courts
CAS-02925-G0T4X4,Courts
CAS-02718-K7B6B0,Courts
CAS-02609-K5J5H1,Direct Intake
CAS-02597-J4Y0J9,External Agency
CAS-02520-W1L1M6,External Agency
CAS-02315-M0H4X9,Courts
CAS-02499-H7P1S9,Courts
CAS-02235-M3X2S5,Courts
CAS-02506-B2T7V5,Courts
CAS-02631-L6Z6F9,Courts
CAS-02336-Y4Y9Q8,Courts
CAS-02876-D8Z2P0,External Agency
